,first_word,first_onset,last_word,last_offset
(S (NP (S (S (NP (PRP 我)) (VP (VV 提出))) (DEC 的)) (NP (DP (DT 这) (CLP (M 个))) (NP (NN 教训))) (NP (NN 意义))) (VP (VC 是) (NP (S (S (VP (ADVP (AD 很)) (VP (VA 重大)))) (DEC 的))))) ,我,531.93,的,534.59
(S (NP (NN 花) (NN 点儿) (NN 功夫)) (VP (VC 是) (NP (S (S (VP (ADVP (AD 很)) (VP (VV 值得)))) (DEC 的))))) ,花,535.24,的,536.99
(S (NP (PRP 你们)) (VP (ADVP (AD 也许)) (VP (VV 要) (VP (VV 问) (S (S (VP (ADVP (AD 为什么)) (LCP (NP (NP (PRP 这)) (DP (DT 本)) (NP (NN 书))) (LC 中)) (ADVP (AD 别的)) (VP (VV 画)))) (VP (ADVP (AD 都)) (VP (VE 没有) (S (S (NP (DP (DT 这)) (ADJP (JJ 副)) (NP (NN 画))) (VP (ADVP (AD 那么)) (VP (VA 壮观)))) (SP 呢))))))))) ,你们,537.86,呢,542.64
(S (S (VP (VV 回答) (VP (ADVP (AD 很)) (VP (VA 简单))))) (NP (PRP 我)) (VP (ADVP (AD 也)) (VP (VV 试) (AS 了)))) ,回答,543.32,了,545.67
(S (S (NP (NN 别的) (NN 画)) (NP (PRP 我)) (VP (ADVP (AD 也)) (ADVP (AD 曾经)) (VP (VV 试图) (S (VP (VV 画) (DER 得) (VP (VA 好) (CLP (M 些)))))))) (S (VP (ADVP (AD 却)) (ADVP (AD 没)) (VP (VA 成功))))) ,别的,546.32,成功,550.04
(S (ADVP (AD 而)) (PP (P 当) (LCP (S (NP (PRP 我)) (VP (VV 画) (NP (NN 猴面包树)))) (LC 时))) (NP (S (S (VP (VP (VV 有) (QP (CD 一) (CLP (M 种)))) (ADVP (AD 急切)))) (DEC 的)) (NP (NN 心情))) (VP (ADVP (AD 在)) (VP (VV 激励) (AS 着) (NP (PRP 我))))) ,而,550.58,我,554.77
(S (S (IJ 啊) (NP (NN 小王子))) (S (PP (P 就) (NP (NN 这样))) (S (NP (PRP 我)) (VP (ADVP (AD 逐渐)) (VP (VP (VV 懂得) (AS 了)) (NP (NP (PRP 你)) (NP (DP (DT 那)) (NP (ADJP (ADJP (AD 忧郁)) (DEG 的)) (NP (NN 生活)))))))))) ,啊,556.72,生活,561.96
(S (LCP (NP (S (S (VP (NP (NT 过去)) (ADVP (AD 相当)) (VP (VA 长)))) (DEC 的)) (NP (NN 时间))) (LC 里)) (NP (PRP 你)) (NP (DNP (ADJP (JJ 唯一)) (DEG 的)) (NP (NN 乐趣))) (VP (ADVP (AD 就)) (VP (VC 是) (NP (S (S (VP (VV 观赏) (NP (DP (DT 那)) (NP (NN 夕阳西下))))) (DEC 的)) (NP (NN 温柔) (NN 晚景)))))) ,过去,562.82,晚景,568.24
(S (NP (S (S (VP (ADVP (AD 这个)) (VP (VA 新)))) (DEC 的)) (NP (NN 细节))) (VP (VC 是) (NP (S (S (NP (PRP 我)) (VP (PP (P 在) (QP (OD 第四) (CLP (M 天)))) (VP (NP (NT 早晨)) (VP (VV 知道))))) (DEC 的))))) ,这个,569.11,的,572.39
(S (NP (PRP 你)) (VP (NP (NT 当时)) (PP (P 对) (NP (PRP 我))) (VP (VV 说) (S (VP (VV 道) (S (NP (PRP 我)) (VP (VV 喜欢) (S (VP (VV 看) (NP (NN 日落))))))))))) ,你,573.27,日落,576
(S (NP (PRP 我们)) (VP (MSP 去) (VP (VV 看) (NP (QP (CD 一) (CLP (M 回))) (NP (NN 日落))))) (SP 吧)) ,我们,576.78,吧,578.62
(S (S (ADVP (AD 可是)) (VP (VV 得) (VP (VV 等) (AS 着)))) (S (NP (PRP 我)) (VP (VV 说)))) ,可是,579.66,说,582.47
(S (VP (VV 等) (NP (PRP 什么)))) ,等,583.45,什么,583.97
(S (VP (VV 等) (NP (NN 太阳) (NN 落山)))) ,等,584.96,落山,585.79
(S (NP (PRP 我们)) (VP (VV 必须) (VP (VV 等) (PP (P 到) (NP (NN 那个) (NN 时候)))))) ,我们,586.33,时候,587.77
(S (VP (VV 开始) (NP (S (S (NP (PRP 你)) (VP (VV 显得) (VP (ADVP (AD 很)) (VP (VA 惊奇))))) (DEC 的)) (NP (NN 样子))))) ,开始,588.71,样子,590.9
(S (ADVP (AD 随后)) (NP (PRP 你)) (VP (VV 笑) (NP (DNP (NP (PRP 自己)) (DEG 的)) (NP (NN 糊涂))))) ,随后,591.49,糊涂,593
(S (S (NP (PRP 你)) (VP (PP (P 对) (NP (PRP 我))) (VP (VV 说) (S (NP (PRP 我)) (VP (ADVP (AD 总)) (VP (VV 以为) (S (VP (VC 是) (NP (DNP (PP (P 在) (NP (PRP 我))) (DEG 的)) (NP (NN 家乡))))))))))) (SP 呢)) ,你,593.71,呢,597.47
(S (VP (ADVP (AD 确实)) (VP (NP (PRP 大家)) (ADVP (AD 都)) (VP (VV 知道) (S (VP (VP (PP (P 在) (NP (NR 美国))) (VP (VC 是) (NP (NP (NT 正午)) (NP (NN 时分))))) (VP (PP (P 在) (NP (NR 法国))) (ADVP (AD 正)) (VP (VV 夕阳西下))))))))) ,确实,598.64,夕阳,604.61
(S (ADVP (CS 只要)) (S (VP (PP (P 在) (LCP (QP (CD 一) (CLP (M 分钟))) (LC 内))) (VP (VP (VV 赶到) (NP (NR 法国))) (VP (ADVP (AD 就)) (VP (VV 可) (VP (VV 看到) (NP (NN 日落))))))))) ,只要,605.27,日落,608.03
(S (VP (VP (VA 可惜) (NP (S (S (NP (NR 法国)) (VP (VP (VC 是)) (ADVP (AD 那么)))) (DEC 的)))) (VP (VA 遥远)))) ,可惜,608.81,遥远,610.98
(S (ADVP (AD 而)) (LCP (NP (DNP (PP (PP (P 在) (NP (PRP 你))) (ADVP (AD 那样))) (DEG 的)) (ADJP (JJ 小)) (NP (NN 行星))) (LC 上)) (NP (PRP 你)) (VP (ADVP (CS 只要)) (VP (VP (BA 把) (S (NP (DNP (NP (PRP 你)) (DEG 的)) (NP (NN 椅子))) (VP (VV 挪动) (QP (CD 几) (CLP (M 步)))))) (VP (ADVP (AD 就)) (VP (VV 行) (AS 了)))))) ,而,611.97,了,616.11
(S (ADVP (AD 这样)) (NP (PRP 你)) (VP (ADVP (AD 便)) (VP (VV 可) (VP (ADVP (AD 随时)) (VP (VV 看到) (NP (S (S (NP (PRP 你)) (VP (VV 想) (S (VP (VV 看))))) (DEC 的)) (NP (NN 夕阳) (NN 余晖)))))))) ,这样,616.67,余晖,620.23
(S (S (QP (CD 一) (CLP (M 天))) (NP (PRP 我)) (VP (VV 看见) (AS 过) (NP (QP (CD 四十三) (CLP (M 次))) (NP (NN 日落))))) (S (NP (PRP 你)) (VP (PP (P 对) (NP (PRP 我))) (VP (VV 说))))) ,一,621.35,说,625.92
(S (S (VP (VV 过) (QP (CD 一会儿)))) (NP (PRP 你)) (VP (ADVP (AD 又)) (VP (VV 说) (S (NP (PRP 你)) (VP (VV 知道) (S (VP (PP (P 当) (LCP (S (NP (NN 人们)) (VP (VV 感到) (S (VP (ADVP (AD 非常)) (VP (VA 苦闷)))))) (LC 时))) (ADVP (AD 总)) (VP (VC 是) (NP (S (S (VP (VV 喜欢) (S (VP (VV 日落))))) (DEC 的))))))))))) ,过,626.66,的,633.55
(S (S (NP (PRP 你)) (VP (ADVP (AD 怎么)) (VP (VV 会) (VP (ADVP (AD 这么)) (VP (VV 苦闷)))))) (S (NP (PRP 我)) (VP (NP (NN 问))))) ,你,634.8,问,637.11
(S (VP (VP (QP (CD 一) (CLP (M 天)))) (VP (QP (CD 四十三) (CLP (M 次)))))) ,一,637.81,次,639.51
(S (ADVP (AD 但是)) (S (NP (NN 小王子)) (VP (VV 没有) (VV 回答)))) ,但是,640.58,回答,642.66
(S (QP (OD 第五) (CLP (M 天))) (S (ADVP (AD 还是)) (NP (DNP (NP (NN 羊)) (DEG 的)) (NP (NN 事儿))) (VP (BA 把) (S (NP (DNP (NP (NN 小王子)) (DEG 的)) (NP (NN 生活))) (VP (ADVP (AD 秘密)) (PP (P 向) (NP (PRP 我))) (VP (VV 揭开) (AS 了))))))) ,第五,0,了,5.02
(S (S (NP (NN 好像)) (VP (LCP (S (VP (DVP (VP (VA 默默)) (DEV 地)) (VP (VV 思索) (AS 了) (NP (ADJP (ADVP (AD 很)) (ADJP (JJ 长))) (NP (NN 时间)))))) (LC 以后)) (VP (VV 得出) (AS 了) (NP (DP (DT 什么)) (NP (NN 结果)))))) (S (VP (VA 一样))) (NP (PRP 他)) (VP (DVP (VP (ADVP (AD 突然)) (VP (VA 没头没脑))) (DEV 地)) (VP (VV 问) (S (S (NP (PRP 我)) (NP (NN 羊)) (VP (ADVP (AD 要是)) (VP (VV 吃) (NP (ADJP (JJ 小)) (NP (NN 灌木)))))) (S (NP (PRP 它)) (VP (ADVP (AD 也)) (VP (VV 要) (VP (VV 吃) (NP (NN 花) (NN 啰)))))))))) ,好像,5.65,啰,15.18
(S (S (NP (NN 羊)) (S (NP (PRP 它)) (VP (VP (VV 碰到) (NP (PRP 什么))) (VP (VV 吃) (NP (PRP 什么)))))) (S (NP (PRP 我)) (VP (VV 回答)))),羊,16.23,回答,19.21
(S (S (NP (S (S (VP (ADVP (AD 连)) (VP (VE 有) (NP (NN 刺儿))))) (DEC 的)) (NP (NN 花))) (VP (ADVP (AD 也)) (VP (VV 吃)))) (SP 吗)) ,连,20.11,吗,21.27
(S (NP (S (S (VP (VE 有) (NP (NN 刺)))) (DEC 的))) (VP (ADVP (AD 也)) (VP (VV 吃)))) ,有,21.97,吃,22.84
(S (ADVP (AD 那么)) (VP (ADVP (AD 刺)) (VP (VE 有) (S (S (NP (PRP 什么)) (VP (VV 用))) (SP 呢))))) ,那么,23.48,呢,25.26
(S (NP (PRP 我)) (VP (ADVP (AD 不)) (VP (VV 知道) (S (VP (DP (DT 该)) (ADVP (AD 怎么)) (VP (VV 回答))))))) ,我,26.33,回答,27.87
(S (NP (NN 那会儿)) (NP (PRP 我)) (VP (ADVP (AD 正)) (VP (VV 忙) (AS 着) (S (VP (VP (VV 要) (VP (PP (P 从) (LCP (NP (NN 发动机)) (LC 上))) (VP (VV 卸下) (NP (QP (CD 一) (CLP (M 颗))) (NP (NN 拧)))))) (VP (VV 得) (ADVP (AD 太)) (NP (DNP (ADJP (JJ 紧)) (DEG 的)) (NP (NN 螺丝))))))))) ,那会,28.53,螺丝,32.37
(S (NP (PRP 我)) (VP (VV 发现) (S (NP (NN 机器) (NN 故障)) (VP (VV 似乎) (VP (ADVP (AD 很)) (VP (VA 严重))))))) ,我,33.1,严重,34.84
(S (NP (NN 饮水)) (VP (ADVP (AD 也)) (VP (VP (VA 快)) (VP (VV 完) (AS 了))))) ,饮水,35.34,了,36.27
(S (S (VP (VV 担心) (S (VP (VV 可能) (VP (VV 发生) (NP (S (S (VP (ADVP (AD 最)) (VP (VA 坏)))) (DEC 的)) (NP (NN 情况)))))))) (S (NP (NN 心里)) (VP (ADVP (AD 很)) (VP (VA 着急))))) ,担心,37.01,着急,39.52
(S (ADVP (AD 那么)) (VP (ADVP (AD 刺)) (VP (VE 有) (S (S (NP (PRP 什么)) (VP (VV 用))) (SP 呢))))) ,那么,40.31,呢,41.75
(S (NP (NN 小王子)) (VP (VP (ADVP (CS 一旦)) (VP (VP (VV 提出) (AS 了)) (NP (NN 问题)))) (VP (ADVP (AD 从来)) (VP (ADVP (AD 不)) (VP (VV 会) (VV 放过)))))) ,小王子,42.72,放过,45.15
(S (NP (DNP (NP (NN 这个) (NN 该死)) (DEG 的)) (NP (NN 螺丝))) (VP (VV 使) (NP (PRP 我)) (S (VP (ADVP (AD 很)) (VP (VA 恼火)))))) ,这个,45.62,恼火,47.5
(S (S (NP (PRP 我)) (VP (ADVP (AD 于是)) (PP (P 就) (NP (NN 随便))) (VP (VV 回答) (AS 了) (NP (NP (PRP 他)) (QP (CD 一)) (NP (NN 句)))))) (S (NP (NN 刺) (NN 么)) (NP (DP (DT 什么)) (NP (NN 用))) (VP (ADVP (AD 都)) (VP (VE 没有))))) ,我,47.85,没有,51.91
(S (NP (PRP 这)) (VP (ADVP (AD 纯粹)) (VP (VC 是) (NP (DNP (NP (NN 花)) (DEG 的)) (ADJP (JJ 恶劣)) (NP (NN 表现)))))) ,这,52.32,表现,53.72
(S (VP (VV 噢))) ,噢,54.6,噢,54.85
(S (ADVP (AD 可是)) (NP (S (S (LCP (S (NP (PRP 他)) (VP (VV 沉默) (AS 了) (QP (CD 一会儿)))) (LC 之后)) (NP (NN 怀)) (VP (VV 着) (NP (NN 不满)))) (DEC 的)) (NP (NN 心情) (NN 冲))) (NP (PRP 我)) (VP (VV 说) (S (NP (PRP 我)) (VP (ADVP (AD 不)) (VP (VV 信)))))) ,可是,56,信,60.32
(S (NP (NN 花)) (VP (VC 是) (NP (S (S (VP (VA 弱小))) (DEC 的))))) ,花,60.95,的,61.75
(S (NP (PRP 它们)) (VP (VC 是) (NP (S (S (VP (VA 淳朴))) (DEC 的))))) ,它们,62.14,的,62.99
(S (NP (PRP 它们)) (VP (ADVP (AD 总是)) (VP (VV 设法) (S (VP (VV 保护) (NP (PRP 自己))))))) ,它们,63.5,自己,64.99
(S (VP (VP (VV 以为) (S (VP (VE 有) (AS 了) (NP (NN 刺))))) (VP (ADVP (AD 就)) (VP (VV 可以) (VP (VV 显出) (NP (DNP (NP (PRP 自己)) (DEG 的)) (NP (NN 厉害)))))))) ,以为,65.47,厉害,68.15
(S (NP (PRP 我)) (VP (VV 默不作声))) ,我,69.26,不说话,69.98
(S (S (NP (S (S (NP (PRP 我)) (VP (NP (NT 当时)) (VP (VV 想)))) (DEC 的)) (S (VP (ADVP (CS 如果)) (VP (VV 这个)))) (NP (NN 螺丝))) (VP (ADVP (AD 再)) (PP (P 和) (NP (PRP 我))) (VP (VV 作对)))) (NP (PRP 我)) (VP (PP (P 就) (NP (NP (QP (CD 一)) (NP (NN 锤子))) (NP (NN 敲)))) (VP (VV 掉) (NP (PRP 它))))) ,我,70.52,它,74.37
(S (NP (NN 小王子)) (VP (ADVP (AD 又)) (VP (MSP 来) (VP (VV 打搅) (NP (DNP (NP (PRP 我)) (DEG 的)) (NP (NN 思绪)))))) (AS 了)) ,小王子,75.01,了,76.98
(S (NP (PRP 你)) (VP (ADVP (AD 却)) (VP (VV 认为) (NP (NN 花))))) ,你,77.3,花,78.3
(S (S (S (VP (VA 算了))) (SP 吧)) (NP (PRP 我)) (VP (VV 喊) (NP (NN 道)))) ,算了,78.55,道,80.22
(S (S (S (VP (VA 算了))) (SP 吧)) (VP (VA 算了)) (SP 吧)) ,算了,80.85,吧,82.31
(S (NP (PRP 我) (PRP 什么)) (VP (ADVP (AD 也)) (ADVP (AD 不)) (VP (VV 认为)))) ,我,83.02,认为,83.85
(S (NP (PRP 我)) (VP (VC 是) (NP (S (S (VP (ADVP (AD 随便)) (VP (VV 回答) (NP (PRP 你))))) (DEC 的))))) ,我,84.29,的,85.2
(S (NP (PRP 我)) (VP (VV 可) (VP (VE 有) (S (NP (ADJP (JJ 正经)) (NP (NN 事))) (VP (VSB (VV 要) (VV 做))))))) ,我,85.56,做,86.58
(S (NP (PRP 他)) (VP (DVP (VP (VA 惊讶)) (DEV 地)) (VP (VV 看) (AS 着) (NP (PRP 我))))) ,他,87.32,我,88.29
(S (VP (VV 正经) (NP (NN 事)))) ,正经,89.13,事,89.91
(S (NP (PRP 他)) (VP (VV 瞅) (AS 着) (S (NP (PRP 我)) (NP (NN 手)) (VP (VP (VP (VV 拿) (NP (NN 锤子) (NN 手指))) (VP (VV 沾满) (AS 了) (NP (NN 油污)))) (VP (VV 伏) (PP (P 在) (LCP (NP (QP (CD 一) (CLP (M 个))) (S (S (VP (PP (P 在) (NP (PRP 他))) (VP (VV 看来) (NP (NN 丑不可言))))) (DEC 的)) (NP (NN 机件))) (LC 上)))))))) ,他,90.72,上,96.22
(S (NP (PRP 你)) (VP (VV 说话) (VP (ADVP (AD 就)) (PP (P 和) (NP (DP (DT 那些)) (NP (NN 大人)))) (VP (VA 一样))))) ,你,96.98,一样,99.51
(S (NP (DP (DT 这)) (NP (NN 话))) (VP (VV 使) (NP (PRP 我)) (S (VP (VV 有点儿) (NP (NN 难堪)))))) ,这,100.58,难堪,102.41
(S (ADVP (AD 可是)) (NP (PRP 他)) (VP (DVP (VP (ADVP (AD 又)) (VP (VA 尖刻无情))) (DEV 地)) (VP (VV 说) (S (VP (VV 道) (S (NP (PRP 你) (PRP 什么)) (VP (ADVP (AD 都)) (ADVP (AD 分)) (ADVP (AD 不)) (VP (VA 清))))))))) ,可是,103.2,清,106.23
(S (NP (PRP 你)) (VP (BA 把) (S (NP (PRP 什么)) (VP (ADVP (AD 都)) (ADVP (AD 混)) (ADVP (AD 在)) (VP (VV 一起)))))) ,你,106.67,一起,107.83
(S (NP (PRP 他)) (VP (VV 着实) (S (VP (ADVP (AD 非常)) (VP (VV 恼火)))))) ,他,108.87,恼火,109.96
(S (VP (VV 摇动) (AS 着) (NP (NN 脑袋)))) ,摇动,110.33,脑袋,111.08
(S (NP (DNP (ADJP (JJ 金黄色)) (DEG 的)) (NP (NN 头发))) (VP (PP (P 随) (NP (NN 风))) (VP (VV 颤动) (AS 着)))) ,金黄色,111.49,着,113.37
(S (S (NP (PRP 我)) (VP (VP (VV 到) (AS 过)) (NP (QP (CD 一) (CLP (M 个))) (NP (NN 星球))))) (S (NP (NN 上面)) (VP (VP (VV 住) (AS 着)) (NP (QP (CD 一) (CLP (M 个))) (NP (NP (ADJP (JJ 红)) (NP (NN 脸))) (NP (NN 先生))))))) ,我,114.39,先生,117.27
(S (NP (PRP 他)) (VP (ADVP (AD 从来)) (ADVP (AD 没)) (VP (VV 闻) (AS 过) (NP (QP (CD 一) (CLP (M 朵))) (NP (NN 花)))))) ,他,117.74,花,119.11
(S (NP (PRP 他)) (VP (ADVP (AD 从来)) (VP (VV 没有) (VP (VV 看) (AS 过) (NP (QP (CD 一) (CLP (M 颗))) (NP (NN 星星))))))) ,他,119.53,星星,121.42
(S (NP (PRP 他)) (VP (NP (DP (DT 什么)) (NP (NN 人))) (ADVP (AD 也)) (VP (VV 没有) (VP (VV 喜欢) (S (VP (VV 过))))))) ,他,122.02,过,123.43
(S (PP (P 除了) (LCP (NP (NN 算账)) (LC 以外))) (NP (PRP 他)) (NP (PRP 什么)) (VP (ADVP (AD 也)) (VP (VV 没有) (VP (VV 做) (AS 过))))) ,除了,123.9,过,126.27
(S (S (NP (S (S (NP (PRP 他)) (VP (ADVP (AD 整天)) (PP (P 同) (NP (PRP 你))) (VP (VA 一样))))) (NP (NN 老是))) (VP (VV 说) (S (NP (PRP 我)) (VP (VE 有) (NP (ADJP (JJ 正经)) (NP (NN 事))))))) (S (NP (PRP 我)) (VP (VC 是) (NP (QP (CLP (M 个))) (DNP (ADJP (JJ 严肃)) (DEG 的)) (NP (NN 人)))))) ,他,126.89,人,131.47
(S (NP (PRP 这)) (VP (VV 使) (NP (PRP 他)) (S (VP (VV 傲气) (QP (CD 十足)))))) ,这,132.67,十足,133.84
(S (NP (PRP 他)) (VP (ADVP (AD 简直)) (ADVP (AD 不)) (VP (VV 像) (S (VP (VC 是) (NP (CLP (M 个)) (NP (NN 人)))))))) ,他,134.21,人,135.31
(S (NP (PRP 他)) (VP (VC 是) (NP (CLP (M 个)) (NP (NN 蘑菇))))) ,他,135.64,蘑菇,136.35
(S (VP (VC 是) (NP (CLP (M 个)) (NP (PRP 什么))))) ,是,137.11,什么,137.59
(S (VP (VC 是) (NP (CLP (M 个)) (NP (NN 蘑菇))))) ,是,138.23,蘑菇,139.07
(S (NP (NN 小王子)) (S (NP (NT 当时)) (VP (VV 气) (DER 得) (S (NP (NN 脸色)) (VP (VV 发) (NP (NN 白))))))) ,小王子,140.13,白,142.43
(S (LCP (QP (CD 几百万) (CLP (M 年))) (LC 以来)) (NP (NN 花儿)) (VP (ADVP (AD 都)) (ADVP (AD 在)) (VP (VV 制造) (AS 着) (NP (NN 刺))))) ,几百万,143.68,刺,146.43
(S (LCP (QP (CD 几百万) (CLP (M 年))) (LC 以来)) (NP (NN 羊)) (VP (ADVP (AD 仍然)) (ADVP (AD 在)) (VP (VV 吃) (NP (NN 花))))) ,几百万,146.8,花,149.26
(S (S (S (S (VP (VV 要) (VP (VP (VV 搞)) (VP (VA 清楚))))) (VP (ADVP (AD 为什么)) (VP (VV 花儿) (NP (NN 费))))) (S (ADVP (AD 那么)) (NP (ADJP (JJ 大)) (NP (NN 劲儿))) (VP (PP (P 给) (NP (PRP 自己))) (VP (VV 制造) (NP (S (S (VP (VE 没有) (NP (DP (DT 什么)) (NP (NN 用))))) (DEC 的)) (NP (NN 刺))))))) (NP (DP (DT 这)) (NP (NN 难道))) (VP (ADVP (AD 不)) (VP (VC 是) (NP (NN 正经) (NN 事儿))))) ,要,149.74,事,155.22
(S (VP (VP (VV 难道) (NP (DNP (LCP (NP (NN 羊) (CC 和) (NN 花)) (LC 之间)) (DEG 的)) (NP (NN 战争)))) (VP (ADVP (AD 不)) (VP (VA 重要))))) ,难道,155.87,重要,157.78
(S (NP (PRP 这)) (VP (VV 难道) (S (VP (ADVP (AD 不)) (PP (P 比) (NP (DNP (NP (NP (NP (NP (NR 那个)) (ADJP (JJ 大)) (NP (NN 胖子))) (ADJP (JJ 红)) (NP (NN 脸))) (NP (NN 先生))) (DEG 的)) (NP (NN 账目)))) (ADVP (AD 更)) (VP (VA 重要)))))) ,这,158.49,重要,161.62
(S (ADVP (CS 如果)) (S (NP (PRP 我)) (VP (VV 认识) (NP (LCP (NP (QP (CD 一) (CLP (M 朵))) (NP (NN 人世))) (LC 间)) (DNP (ADJP (JJ 唯一)) (DEG 的)) (NP (NN 花)))))) ,如果,162.47,花,164.47
(S (ADVP (CS 只有)) (S (VP (LCP (NP (DNP (NP (PRP 我)) (DEG 的)) (NP (NN 星球))) (LC 上)) (VP (VE 有) (S (NP (PRP 它)) (VP (VV 别的) (NP (NN 地方)) (S (VP (ADVP (AD 都)) (ADVP (AD 不)) (VP (VV 存在)))))))))) ,只有,164.99,存在,167.6
(S (ADVP (AD 而)) (NP (QP (CD 一) (CLP (M 只))) (NP (ADJP (JJ 小)) (NP (NN 羊))) (NP (NN 糊里糊涂))) (VP (ADVP (AD 就)) (ADVP (AD 这样)) (VP (BA 把) (S (NP (PRP 它)) (VP (ADVP (AD 一下子)) (VP (VV 毁掉) (AS 了))))))) ,而,168.14,了,171.23
(S (NP (PRP 这)) (VP (VV 难道) (S (VP (ADVP (AD 不)) (VP (VA 重要)))))) ,这,171.66,重要,172.46
(S (S (NP (DNP (NP (PRP 他)) (DEG 的)) (NP (NN 脸) (NN 气))) (VP (VP (VV 得) (NP (NN 发红))) (VP (ADVP (AD 然后)) (ADVP (AD 又)) (VP (VV 接着) (NP (NN 说道)))))) (VP (ADVP (CS 如果)) (VP (VE 有) (S (NP (NN 人)) (VP (VV 爱上) (AS 了) (S (PP (P 在) (LCP (NP (DP (DT 这) (QP (CD 亿万) (CLP (M 颗)))) (NP (NN 星星))) (LC 中))) (S (NP (DNP (QP (CD 独一无二)) (DEG 的)) (QP (CD 一) (CLP (M 株))) (NP (NN 花))) (PP (P 当) (NP (S (S (NP (PRP 他)) (VP (VV 看) (AS 着) (NP (DP (DT 这些)) (NP (NN 星星))))) (DEC 的)) (NP (NN 时候)))) (NP (PRP 这)) (VP (ADVP (AD 就)) (VP (VV 足以) (S (VP (VV 使) (NP (PRP 他)) (S (VP (VV 感到) (NP (NN 幸福))))))))))))))) ,他,173.95,幸福,186.27
(S (NP (PRP 他)) (VP (VV 可以) (VP (DVP (VP (VA 自言自语)) (DEV 地)) (VP (VV 说) (S (NP (DNP (NP (PRP 我)) (DEG 的)) (DP (DT 那) (CLP (M 朵))) (NP (NN 花))) (VP (PP (ADVP (AD 就)) (PP (P 在) (LCP (NP (DNP (NP (NN 其中)) (DEG 的)) (QP (CD 一) (CLP (M 颗))) (NP (NN 星星))) (LC 上)))))))))) ,他,186.82,上,191.27
(S (ADVP (AD 但是)) (S (S (ADVP (CS 如果)) (S (NP (NN 羊)) (VP (VP (VV 吃)) (VP (VV 掉) (AS 了) (NP (DP (DT 这) (CLP (M 朵))) (NP (NN 花))))))) (VP (PP (P 对) (NP (PRP 他))) (VP (MSP 来) (VP (VV 说) (NP (NP (NR 好像)) (DNP (DP (DT 所有)) (DEG 的)) (NP (NN 星星))))))) (VP (ADVP (AD 一下子)) (ADVP (AD 全)) (ADVP (AD 都)) (VP (VV 熄灭) (AS 了) (NP (S (S (VP (VA 一样)))))))) ,但是,192.18,一样,197.81
(S (S (NP (DP (DT 这)) (NP (NN 难道))) (VP (ADVP (AD 也)) (ADVP (AD 不)) (VP (VA 重要)))) (SP 吗)) ,这,198.48,吗,200.03
(S (NP (PRP 他)) (VP (ADVP (AD 无法)) (ADVP (AD 再)) (VP (VV 说) (S (VP (VV 下去) (AS 了)))))) ,他,201.42,了,202.63
(S (VP (ADVP (AD 突然)) (VP (VV 泣不成声)))) ,突然,203.46,泣不成声,204.57
(S (NP (NN 夜幕)) (VP (ADVP (AD 已经)) (VP (VV 降临)))) ,夜幕,205.84,降临,206.74
(S (NP (PRP 我)) (VP (VV 放下) (NP (DNP (LCP (NP (NN 手)) (LC 中)) (DEG 的)) (NP (NN 工具))))) ,我,207.36,工具,208.39
(S (NP (PRP 我)) (VP (BA 把) (S (NP (NN 锤子) (NN 螺钉) (NN 饥渴)) (VP (VV 死亡) (VP (ADVP (AD 全都)) (VP (VV 抛) (PP (P 在) (LCP (NP (NN 脑)) (LC 后))))))))) ,我,208.95,后,213.52
(S (PP (PP (P 在) (LCP (NP (QP (CD 一) (CLP (M 颗))) (NP (NN 星球))) (LC 上))) (PP (P 在) (LCP (NP (QP (CD 一) (CLP (M 颗))) (NP (NN 行星))) (LC 上))) (PP (P 在) (LCP (NP (DNP (NP (PRP 我)) (DEG 的)) (NP (NN 行星))) (LC 上))) (PP (P 在) (LCP (NP (NN 地球)) (LC 上)))) (S (VP (VP (VE 有) (NP (QP (CD 一) (CLP (M 个))) (NP (NN 小王子)))) (VP (VV 需要) (NP (NN 安慰)))))) ,在,214.4,安慰,221.35
(S (S (NP (PRP 我)) (VP (VP (BA 把) (NP (PRP 他))) (VP (VP (VV 抱) (PP (P 在) (NP (NR 怀里)))) (VP (VP (VV 摇) (AS 着)) (NP (PRP 他)))))) (S (VP (VP (PP (P 对) (NP (PRP 他))) (VV 说)) (S (NP (SBAR (S (NP (PRP 你)) (VP (VV 爱))) (DEC 的)) (NP (DP (DT 那) (CLP (M 朵))) (NP (NN 花)))) (VP (VE 没有) (NP (NN 危险))))))) ,我,222.25,危险,227.28
(S (NP (PRP 我)) (VP (PP (P 给) (NP (DNP (NP (PRP 你)) (DEG 的)) (ADJP (JJ 小)) (NP (NN 羊)))) (VP (VV 画) (NP (QP (CD 一) (CLP (M 个))) (NP (NN 罩子)))))) ,我,227.92,罩子,229.65
(S (NP (PRP 我)) (VP (PP (P 给) (NP (DNP (NP (PRP 你)) (DEG 的)) (NP (NN 花)))) (VP (VV 画) (NP (QP (CD 一)) (ADJP (JJ 副)) (NP (NN 盔甲)))))) ,我,230.28,盔甲,232.04
(S (VP (NP (PRP 我)))) ,我,232.87,我,233.43
(S (NP (PRP 我)) (VP (ADVP (AD 也)) (ADVP (AD 不)) (ADVP (AD 太)) (VP (VV 知道) (S (VP (VV 该) (VP (VV 说) (NP (CLP (M 些)) (NP (PRP 什么))))))))) ,我,234.46,什么,235.83
(S (NP (PRP 我)) (VP (VV 觉得) (S (NP (PRP 自己)) (VP (ADVP (AD 太)) (VP (VA 笨拙)))))) ,我,236.46,笨拙,237.57
